2555,3579330.0,TEDWomen 2015,1437492777.0
2558,1286951.0,TED2009,1239584400.0
2567,12711857.0,TED2012,1331911014.0
2574,1452026.0,TEDGlobal 2014,1427989423.0
2579,3936383.0,TED2016,1457697825.0
2582,10869237.0,TED2013,1368457703.0
2584,923402.0,TED2012,1331222853.0
2586,1286117.0,TED2012,1332948195.0
2592,1682306.0,TEDxThessaloniki,1446567911.0
2610,2086836.0,TED2016,1461337230.0
2627,1289521.0,TEDGlobal 2013,1373986777.0
2646,1516978.0,TED Fellows Retreat 2015,1447344790.0
2653,3596563.0,TED2012,1332428899.0
2654,1671549.0,TED@Bangalore,1352824689.0
2655,1688404.0,TEDGlobal 2011,1318605332.0
2658,1137659.0,TED2005,1263549540.0
2661,5228887,TEDGlobal 2012,1343314919
2675,966387.0,TED Residency,1492095971.0
2684,1253369.0,TEDWomen 2016,1482235189.0
2723,1028595.0,TEDSummit,1471532545.0
2736,1209287.0,TEDxColoradoSprings,1472569257.0
2744,6887994.0,TED2008,1207872300.0
2759,972229.0,TEDWomen 2016,1483546226.0
2764,2202786.0,TEDMED 2016,1494946863.0
2774,1933271.0,TEDWomen 2016,1478535032.0
2788,54752934.0,TEDGlobal 2012,1349103608.0
2794,1073249,TEDWomen 2015,1443192957
2795,927681.0,TEDxSydney,1466433853.0
2810,1366709.0,TED2013,1394465004.0
2814,2837988.0,TEDxMaui,1344693645.0
2817,4630503.0,TED2015,1431442702.0
2835,1416351,TEDGlobal 2009,1249002000
2837,1837808,TED2017,1499784897
2844,900187.0,TEDxWomen 2012,1358179151.0
2845,1631864.0,TEDGlobal 2013,1372087795.0
2851,889386.0,TED2012,1335453094.0
2852,1136933.0,TEDGlobal 2010,1290092040.0
2861,750798.0,TEDGlobal 2007,1185791520.0
2863,2523760.0,TEDGlobal 2013,1371654578.0
2876,720793.0,TEDMED 2011,1327422189.0
2883,1658539.0,TED2016,1460377474.0
2894,1702473.0,TEDGlobal 2007,1186129740.0
2902,1375099.0,TEDWomen 2016,1482336304.0
2924,4803616.0,TED2013,1375974037.0
2925,4620152.0,TED2013,1370012957.0
2933,802376.0,TEDGlobal 2013,1379689237.0
2970,1486437.0,TEDWomen 2015,1442850150.0
2984,1643971.0,TEDGlobal 2013,1371205341.0
3021,4072116.0,TED2007,1199944800.0
3042,2428086,TED2013,1369148412
3064,841813.0,TEDxVictoria,1329576848.0
3069,2403160,TED2013,1364392769
3072,2684425.0,TED2015,1426695045.0
3082,1213674.0,TEDSummit,1476113142.0
3087,16289587.0,TED2015,1426894031.0
3088,2054501.0,TED2015,1432307632.0
3092,717854.0,TED2012,1337785331.0
3114,9158224.0,TED2016,1466694337.0
3116,958072.0,TEDGlobal 2011,1319123389.0
3122,1343406,TEDxSkoll,1493738150
3123,1879662,TEDActive 2011,1307806740
3126,2621929.0,TED2009,1239152400.0
3127,2421220.0,TED2016,1459178550.0
3128,1332037,TED2016,1461683185
3137,1572100.0,TEDWomen 2016,1490108130.0
3145,1416952,TEDActive 2011,1307124300
3149,4798521.0,TED2017,1497020796.0
3151,1062175.0,TED2002,1210219200.0
3173,2292608.0,TED2014,1404746845.0
3186,591459.0,TEDIndia 2009,1260867420.0
3189,1537848.0,TEDGlobal>London,1454083942.0
3190,7211098.0,TEDGlobal 2013,1385567944.0
3191,2187418.0,TED2010,1267693800.0
3193,2360819.0,TED2015,1444230000.0
